cod_mun|DAS_pagos|qtd_optantes|adimplencia|inadimplencia|uf|qtd_populacao_estimada|nm_municipio|vlr_adic_bruto_agropecuaria|vlr_adic_bruto_industria|vlr_adic_bruto_servicos|vlr_adic_bruto_administracao|vlr_adic_bruto_total|impostos_liquidos_sobre_produtos|pib|pib_per_capita|atividade_maior_vlr_adic_bruto|atividade_2maior_vlr_adic_bruto|atividade_3maior_vlr_adic_bruto
4122172|80|110|0.73|0.27|PR|4109|Rio Branco do Ivaí|24734|3720|25506|21194|75154|4882|80035|19602.02|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
4122206|617|1233|0.50|0.50|PR|32517|Rio Branco do Sul|33832|542810|255369|153051|985061|132355|1117416|34623.86|Indústrias de transformação|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4122305|1011|1489|0.68|0.32|PR|34411|Rio Negro|168160|375429|421836|146432|1111858|117534|1229392|36241.73|Demais serviços|Indústrias de transformação|Administração, defesa, educação e saúde públicas e seguridade social
4122404|2371|3728|0.64|0.36|PR|67383|Rolândia|163027|874587|1025166|312549|2375329|281955|2657284|40410.66|Demais serviços|Indústrias de transformação|Administração, defesa, educação e saúde públicas e seguridade social
4122503|443|650|0.68|0.32|PR|9645|Roncador|187839|18740|146898|48924|402401|29241|431642|42915.27|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Comércio e reparação de veículos automotores e motocicletas
4122602|393|607|0.65|0.35|PR|9622|Rondon|66689|55434|82806|44084|249013|15822|264835|27777.97|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
4122651|110|185|0.59|0.41|PR|4689|Rosário do Ivaí|24378|3728|28012|25547|81665|4477|86143|17630.51|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
4122701|260|437|0.59|0.41|PR|6891|Sabáudia|54152|197604|229102|37782|518639|50261|568901|84156.90|Demais serviços|Indústrias de transformação|Administração, defesa, educação e saúde públicas e seguridade social
4122800|101|153|0.66|0.34|PR|3483|Salgado Filho|39484|2722|23048|19973|85226|5240|90466|24589.97|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4122909|157|204|0.77|0.23|PR|4898|Salto do Itararé|37125|3641|20727|24588|86080|2748|88828|17862.07|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4123006|302|424|0.71|0.29|PR|14872|Salto do Lontra|123276|42160|116334|64518|346288|25378|371666|25292.01|Demais serviços|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social
4123105|63|87|0.72|0.28|PR|3266|Santa Amélia|21080|8235|23667|18051|71034|4150|75184|22210.79|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4123204|84|166|0.51|0.49|PR|3293|Santa Cecília do Pavão|27446|14866|42388|19034|103734|8574|112308|33266.48|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
4123303|214|319|0.67|0.33|PR|7751|Santa Cruz de Monte Castelo|104239|21727|84823|37955|248744|13925|262670|33465.37|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4123402|597|958|0.62|0.38|PR|12186|Santa Fé|61468|29269|105799|54162|250697|19729|270426|22753.57|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
4123501|949|1144|0.83|0.17|PR|26767|Santa Helena|218263|161913|335196|139420|854792|79524|934316|35652.74|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária
4123600|30|85|0.35|0.65|PR|1594|Santa Inês|15237|2183|9501|12678|39599|1467|41066|25287.19|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
4123709|323|459|0.70|0.30|PR|8523|Santa Isabel do Ivaí|42620|19291|80201|39756|181868|15176|197044|22904.05|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
4123808|369|619|0.60|0.40|PR|14794|Santa Izabel do Oeste|108698|15371|110922|63381|298373|23345|321718|22155.36|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária
4123824|213|309|0.69|0.31|PR|3793|Santa Lúcia|37086|12487|28533|21702|99809|8107|107916|28147.09|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
